,index,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,2,22,61,119,261,880,"2,209"
3, 10-20,77,77,317,"2,042","5,885","11,748","19,981","30,559","43,018","57,281"
4, 20-30,"8,353","8,353","16,394","26,571","38,593","52,514","68,177","85,682","105,215","126,953"
5, 30-40,"37,794","37,794","51,721","67,327","84,734","104,113","125,668","149,651","176,324","205,957"
6, 40-50,"73,748","73,748","91,885","112,036","134,419","159,281","186,902","217,589","251,669","289,509"
7, 50-60,"109,936","109,936","132,043","156,591","183,850","214,121","247,759","285,136","326,658","372,780"
8, 60-70,"160,949","160,949","188,697","219,515","253,744","291,771","334,022","380,957","433,095","491,134"
9, 70-80,"232,618","232,618","268,261","307,852","351,829","400,698","455,000","515,548","583,199","658,680"
10, 80-90,"375,369","375,369","426,993","484,585","548,821","620,491","700,417","789,454","888,544","998,814"
11, 90-100,"1,660,528","1,660,528","1,863,030","2,089,595","2,342,838","2,625,956","2,942,586","3,296,811","3,693,121","4,136,384"
12, ALL,"265,940","265,940","303,937","346,615","394,477","448,079","508,067","575,170","650,178","733,976"
13, 90-95,"696,566","696,566","785,407","884,447","994,795","1,117,783","1,254,857","1,408,559","1,582,699","1,779,785"
14, 95-99,"1,469,993","1,469,993","1,651,983","1,857,731","2,089,960","2,352,137","2,648,353","2,982,104","3,355,938","3,774,528"
15, Top 1%,"7,242,302","7,242,302","8,095,141","9,042,576","10,094,314","11,261,826","12,557,855","13,996,559","15,593,591","17,366,385"
