,index,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"7,611","7,611","7,660","7,508","6,938","6,328","5,947","5,270","4,235","3,590"
3,0.5-1m,"72,837","72,837","75,470","75,091","74,958","65,853","64,029","53,325","51,140","49,174"
4,1-1.5m,"73,839","73,839","84,284","90,011","90,293","97,856","101,165","110,008","110,175","93,024"
5,1.5-2m,"44,063","44,063","48,181","60,094","77,275","97,058","100,798","100,317","100,225","117,057"
6,2-3m,"56,499","56,499","65,760","76,113","89,365","100,096","123,132","151,369","179,814","207,318"
7,3-4m,"46,026","46,026","50,276","53,722","56,983","65,322","74,925","92,506","102,095","116,314"
8,4-5m,"31,263","31,263","37,812","45,220","51,351","53,911","57,890","60,919","74,283","87,337"
9,5-10m,"75,746","75,746","89,333","106,396","127,647","152,795","180,584","206,662","235,270","263,604"
10,>10m,"153,056","153,056","182,311","216,952","257,252","305,905","363,186","432,817","514,168","610,741"
11,ALL,"560,941","560,941","641,087","731,107","832,061","945,124","1,071,656","1,213,193","1,371,406","1,548,160"
