id_n,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Communication,CONS_Education,CONS_Food,CONS_Health,CONS_Housing,CONS_Housing_Goods_Services,CONS_Miscellaneous,CONS_Recreation_Culture,CONS_Restaurants_Hotels,CONS_Transport,CONS_Total,CONS_Other,Year,weight
3020010120013.0,0.0,7098.6,9600.0,3263.6000000000004,0.0,70.0,23917.5,73522.3,8498.7,33600.0,2550.0,0.0,162120.7,162120.7,2016,102.17764
3020010120027.0,0.0,1015.0,0.0,0.0,0.0,350.0,19086.0,1620.0,0.0,0.0,1090.0,0.0,23161.0,23161.0,2016,102.17764
3020010120041.0,240.0,41077.05,9600.0,3010.75,209040.0,750.0,0.0,46496.45,0.0,4384.3,1115.0,0.0,315713.55,106673.54999999999,2016,102.17764
3020010120069.0,0.0,12293.650000000001,4800.0,5105.05,77520.0,0.0,0.0,15300.0,3500.0,0.0,1000.0,7200.0,126718.7,49198.7,2016,102.17764
3020010120083.0,1200.0,900.0,0.0,0.0,32160.0,0.0,0.0,5100.0,0.0,0.0,590.0,7200.0,47150.0,14990.0,2016,102.17764
3020010120111.0,0.0,6682.9,14400.0,2325.0,94080.0,150.0,162231.0,22331.5,7665.8,2000.0,555.0,0.0,312421.2,218341.2,2016,102.17764
3020010120125.0,0.0,9738.6,4800.0,0.0,21120.0,0.0,216083.95000000004,10430.0,0.0,0.0,1155.0,0.0,263327.55000000005,242207.55000000005,2016,102.17764
3020010120139.0,0.0,5860.0,0.0,1500.0,72240.0,130.0,0.0,3430.0,0.0,0.0,140.0,0.0,83300.0,11060.0,2016,102.17764
3020010120167.0,0.0,5600.0,0.0,2588.6000000000004,29040.0,1130.0,0.0,4460.0,3125.0,1080.0,617.72,24000.0,71641.32,42601.32000000001,2016,102.17764
3020010120181.0,0.0,3500.0,0.0,3116.45,33360.0,125.0,0.0,9930.0,500.0,0.0,75.0,33600.0,84206.45,50846.45,2016,102.17764
3020010720005.0,0.0,12700.0,5280.0,0.0,84720.0,2600.0,0.0,31120.0,450.0,1300.0,345.0,0.0,138515.0,53795.0,2016,31.95289
3020010720011.0,0.0,29351.8,5280.0,43185.6,183360.0,860.0,0.0,12300.0,24443.0,6000.0,1825.0,0.0,306605.4,123245.40000000002,2016,31.95289
3020010720022.0,0.0,33551.5,5760.0,3180.0,126000.0,225.0,0.0,38524.4,0.0,0.0,1120.0,38400.0,246760.9,120760.9,2016,31.95289
3020010720028.0,0.0,41731.5,5760.0,9909.3,131760.0,2125.0,0.0,36300.0,7749.35,0.0,1290.0,0.0,236625.15,104865.15,2016,31.95289
