id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
3020010120013.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120027.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120041.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120069.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120083.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120111.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120125.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120139.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120167.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010120181.0,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764,102.17764
3020010720005.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720011.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720022.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720028.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720034.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720046.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720052.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720063.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720069.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020010720075.0,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289,31.95289
3020020120005.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120014.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120018.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120027.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120032.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120036.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120045.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120050.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120059.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020120063.0,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003,45.856003
3020020710005.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710010.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710021.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710027.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
