,index,vatax_2025,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0, 0-10n,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0
2, 0-10p,"2,431","6,210","6,644","7,114","7,618","8,169","8,752"
3, 10-20,"4,489","12,890","13,798","14,775","15,821","16,956","18,166"
4, 20-30,"6,942","18,921","20,261","21,695","23,231","24,889","26,665"
5, 30-40,"8,892","25,342","27,136","29,057","31,114","33,335","35,715"
6, 40-50,"12,138","32,371","34,662","37,116","39,743","42,580","45,620"
7, 50-60,"16,101","40,382","43,240","46,301","49,579","53,118","56,909"
8, 60-70,"20,195","49,407","52,905","56,650","60,660","64,990","69,629"
9, 70-80,"27,819","62,140","66,539","71,249","76,293","81,739","87,573"
10, 80-90,"41,737","83,414","89,319","95,642","102,413","109,723","117,555"
11, 90-100,"118,706","177,543","190,112","203,570","217,981","233,540","250,209"
12, ALL,"25,956","50,880","54,482","58,338","62,468","66,927","71,704"
13, 90-95,"68,113","119,279","127,723","136,765","146,446","156,899","168,099"
14, 95-99,"126,245","186,769","199,990","214,148","229,308","245,675","263,211"
15, Top 1%,"338,535","428,548","458,885","491,370","526,155","563,710","603,947"
