,index,vatax_2025,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-10k,4,5,5,5,5,4,4
3,10k-25k,12,23,22,19,14,13,13
4,25k-50k,92,190,156,125,111,100,92
5,50k-75k,115,356,348,348,342,290,242
6,75k-100k,200,605,562,485,434,389,365
7,100k-200k,"1,354","3,756","3,624","3,360","3,218","3,073","2,835"
8,200k-500k,"6,195","15,281","15,284","15,484","15,396","15,148","14,728"
9,500k-1m,"6,812","13,494","15,005","15,966","17,318","18,876","20,680"
10,>1m,"8,671","12,266","14,225","16,925","19,610","22,584","25,836"
11,ALL,"23,455","45,976","49,231","52,716","56,448","60,477","64,794"
