,weight_2016,vatax_2016,CONS_Total_2016,weight_2017,vatax_2017,CONS_Total_2017,weight_2018,vatax_2018,CONS_Total_2018,weight_2019,vatax_2019,CONS_Total_2019,weight_2020,vatax_2020,CONS_Total_2020,weight_2021,vatax_2021,CONS_Total_2021,weight_2022,vatax_2022,CONS_Total_2022,weight_2023,vatax_2023,CONS_Total_2023,weight_2024,vatax_2024,CONS_Total_2024,weight_2025,vatax_2025,CONS_Total_2025,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,ETR,ETR_ref
0,"8,998.1074",4.0000,45.0000,"8,998.1074",5.0000,53.0000,"8,998.1074",5.0000,50.0000,"8,998.1074",5.0000,55.0000,"8,998.1074",5.0000,53.0000,"8,998.1074",7.0000,75.0000,"8,998.1074",6.0000,64.0000,"8,998.1074",6.0000,69.0000,"8,998.1074",7.0000,77.0000,"8,998.1074",8.0000,83.0000,"8,998.1074",12.0000,83.0000,"8,998.1074",13.0000,88.0000,"8,998.1074",14.0000,95.0000,"8,998.1074",15.0000,101.0000,"8,998.1074",16.0000,109.0000,"8,998.1074",17.0000,116.0000,0.0964,0.1446
1,"8,998.0396",8.0000,118.0000,"8,998.0396",9.0000,138.0000,"8,998.0396",9.0000,131.0000,"8,998.0396",10.0000,143.0000,"8,998.0396",9.0000,139.0000,"8,998.0396",13.0000,195.0000,"8,998.0396",11.0000,167.0000,"8,998.0396",12.0000,180.0000,"8,998.0396",13.0000,201.0000,"8,998.0396",14.0000,214.0000,"8,998.0396",30.0000,214.0000,"8,998.0396",32.0000,230.0000,"8,998.0396",34.0000,246.0000,"8,998.0396",37.0000,263.0000,"8,998.0396",39.0000,282.0000,"8,998.0396",42.0000,302.0000,0.0654,0.1402
2,"9,051.8771",13.0000,166.0000,"9,051.8771",15.0000,194.0000,"9,051.8771",14.0000,184.0000,"9,051.8771",15.0000,201.0000,"9,051.8771",15.0000,195.0000,"9,051.8771",21.0000,273.0000,"9,051.8771",18.0000,234.0000,"9,051.8771",19.0000,253.0000,"9,051.8771",21.0000,281.0000,"9,051.8771",23.0000,301.0000,"9,051.8771",42.0000,301.0000,"9,051.8771",45.0000,322.0000,"9,051.8771",48.0000,345.0000,"9,051.8771",51.0000,369.0000,"9,051.8771",55.0000,396.0000,"9,051.8771",59.0000,424.0000,0.0764,0.1395
3,"9,089.4495",11.0000,202.0000,"9,089.4495",12.0000,237.0000,"9,089.4495",12.0000,224.0000,"9,089.4495",13.0000,245.0000,"9,089.4495",12.0000,237.0000,"9,089.4495",17.0000,333.0000,"9,089.4495",15.0000,285.0000,"9,089.4495",16.0000,308.0000,"9,089.4495",18.0000,343.0000,"9,089.4495",19.0000,367.0000,"9,089.4495",46.0000,367.0000,"9,089.4495",49.0000,393.0000,"9,089.4495",52.0000,420.0000,"9,089.4495",56.0000,450.0000,"9,089.4495",60.0000,482.0000,"9,089.4495",64.0000,517.0000,0.0518,0.1253
4,"8,708.5306",16.0000,218.0000,"8,708.5306",18.0000,255.0000,"8,708.5306",17.0000,242.0000,"8,708.5306",19.0000,265.0000,"8,708.5306",18.0000,256.0000,"8,708.5306",26.0000,359.0000,"8,708.5306",22.0000,308.0000,"8,708.5306",24.0000,332.0000,"8,708.5306",26.0000,370.0000,"8,708.5306",28.0000,396.0000,"8,708.5306",54.0000,396.0000,"8,708.5306",58.0000,424.0000,"8,708.5306",62.0000,454.0000,"8,708.5306",66.0000,486.0000,"8,708.5306",71.0000,521.0000,"8,708.5306",76.0000,558.0000,0.0707,0.1364
5,"9,353.6977",15.0000,258.0000,"9,353.6977",18.0000,303.0000,"9,353.6977",17.0000,287.0000,"9,353.6977",19.0000,314.0000,"9,353.6977",18.0000,304.0000,"9,353.6977",26.0000,426.0000,"9,353.6977",22.0000,365.0000,"9,353.6977",24.0000,394.0000,"9,353.6977",26.0000,439.0000,"9,353.6977",28.0000,469.0000,"9,353.6977",66.0000,469.0000,"9,353.6977",71.0000,502.0000,"9,353.6977",76.0000,538.0000,"9,353.6977",81.0000,576.0000,"9,353.6977",87.0000,617.0000,"9,353.6977",93.0000,661.0000,0.0597,0.1407
6,"9,030.6209",13.0000,275.0000,"9,030.6209",15.0000,322.0000,"9,030.6209",14.0000,306.0000,"9,030.6209",15.0000,335.0000,"9,030.6209",15.0000,324.0000,"9,030.6209",21.0000,454.0000,"9,030.6209",18.0000,389.0000,"9,030.6209",19.0000,420.0000,"9,030.6209",21.0000,468.0000,"9,030.6209",23.0000,500.0000,"9,030.6209",69.0000,500.0000,"9,030.6209",74.0000,535.0000,"9,030.6209",79.0000,573.0000,"9,030.6209",85.0000,614.0000,"9,030.6209",91.0000,658.0000,"9,030.6209",97.0000,705.0000,0.0460,0.1380
7,"8,930.1135",15.0000,293.0000,"8,930.1135",18.0000,343.0000,"8,930.1135",17.0000,326.0000,"8,930.1135",19.0000,356.0000,"8,930.1135",18.0000,345.0000,"8,930.1135",25.0000,483.0000,"8,930.1135",22.0000,414.0000,"8,930.1135",23.0000,447.0000,"8,930.1135",26.0000,498.0000,"8,930.1135",28.0000,532.0000,"8,930.1135",74.0000,532.0000,"8,930.1135",80.0000,570.0000,"8,930.1135",85.0000,610.0000,"8,930.1135",91.0000,654.0000,"8,930.1135",98.0000,700.0000,"8,930.1135",105.0000,750.0000,0.0526,0.1391
8,"9,138.8206",14.0000,329.0000,"9,138.8206",16.0000,385.0000,"9,138.8206",15.0000,365.0000,"9,138.8206",17.0000,399.0000,"9,138.8206",16.0000,386.0000,"9,138.8206",23.0000,542.0000,"9,138.8206",19.0000,464.0000,"9,138.8206",21.0000,501.0000,"9,138.8206",23.0000,558.0000,"9,138.8206",25.0000,596.0000,"9,138.8206",80.0000,596.0000,"9,138.8206",85.0000,639.0000,"9,138.8206",92.0000,684.0000,"9,138.8206",98.0000,732.0000,"9,138.8206",105.0000,785.0000,"9,138.8206",113.0000,841.0000,0.0419,0.1342
9,"8,915.8540",13.0000,350.0000,"9,044.0760",15.0000,416.0000,"8,915.8540",15.0000,389.0000,"9,044.0760",16.0000,432.0000,"8,915.8540",15.0000,412.0000,"8,915.8540",22.0000,577.0000,"8,915.8540",19.0000,494.0000,"8,915.8540",20.0000,534.0000,"8,915.8540",22.0000,595.0000,"9,044.0760",24.0000,645.0000,"9,044.0760",89.0000,645.0000,"8,915.8540",94.0000,681.0000,"8,915.8540",100.0000,729.0000,"8,915.8540",107.0000,781.0000,"9,044.0760",117.0000,849.0000,"9,044.0760",125.0000,910.0000,0.0372,0.1380
